ID;Archivo;Fecha;Hora;Velocidad
200933969999;E:/data/vid/20091205/10069999.avi;2009-12-05;17:55:43;50
201133069998;E:/data/vid/20111126/10069998.avi;2011-11-26;03:11:37;45
201110869997;E:/data/vid/20110418/10069997.avi;2011-04-18;12:33:36;90
201012969996;E:/data/vid/20100509/10069996.avi;2010-05-09;16:16:46;99
201031569995;E:/data/vid/20101111/10069995.avi;2010-11-11;19:21:06;85
200915469994;E:/data/vid/20090603/10069994.avi;2009-06-03;09:49:27;111
201015369993;E:/data/vid/20100602/10069993.avi;2010-06-02;10:38:16;145
201026769992;E:/data/vid/20100924/10069992.avi;2010-09-24;10:25:51;102
200918369991;E:/data/vid/20090702/10069991.avi;2009-07-02;11:24:18;114
201134169990;E:/data/vid/20111207/10069990.avi;2011-12-07;21:43:40;126
201033169989;E:/data/vid/20101127/10069989.avi;2010-11-27;22:18:32;100
201116869988;E:/data/vid/20110617/10069988.avi;2011-06-17;10:59:44;92
200916069987;E:/data/vid/20090609/10069987.avi;2009-06-09;11:45:53;90
201020169986;E:/data/vid/20100720/10069986.avi;2010-07-20;12:44:24;119
201126269985;E:/data/vid/20110919/10069985.avi;2011-09-19;18:51:41;117
201203069984;E:/data/vid/20120130/10069984.avi;2012-01-30;01:27:15;94
201115569983;E:/data/vid/20110604/10069983.avi;2011-06-04;16:48:20;137
201026469982;E:/data/vid/20100921/10069982.avi;2010-09-21;09:43:23;62
201109569981;E:/data/vid/20110405/10069981.avi;2011-04-05;07:38:38;112
201030869980;E:/data/vid/20101104/10069980.avi;2010-11-04;03:34:04;120
201122969979;E:/data/vid/20110817/10069979.avi;2011-08-17;18:37:33;123
200918969978;E:/data/vid/20090708/10069978.avi;2009-07-08;05:22:05;90
200927769977;E:/data/vid/20091004/10069977.avi;2009-10-04;14:45:30;52
201018769976;E:/data/vid/20100706/10069976.avi;2010-07-06;15:23:22;65
201111469975;E:/data/vid/20110424/10069975.avi;2011-04-24;10:03:43;110
200903769974;E:/data/vid/20090206/10069974.avi;2009-02-06;19:40:04;116
200826369973;E:/data/vid/20080919/10069973.avi;2008-09-19;15:35:20;87
200914769972;E:/data/vid/20090527/10069972.avi;2009-05-27;20:45:26;96
